origin,cylinders,model_year,mpg_level,car_company,mpg,displacement,horsepower,weight,acceleration
usa,8,73,low,ford,14.0,302.0,137.0,4042,14.5
usa,8,73,low,dodge,15.0,318.0,150.0,3777,12.5
usa,8,73,low,mercury,12.0,429.0,198.0,4952,11.5
usa,8,73,low,chevrolet,13.0,400.0,150.0,4464,12.0
usa,8,73,low,ford,13.0,351.0,158.0,4363,13.0
usa,8,73,low,plymouth,14.0,318.0,150.0,4237,14.5
usa,8,73,low,chrysler,13.0,440.0,215.0,4735,11.0
usa,8,73,low,buick,12.0,455.0,225.0,4951,11.0
usa,8,73,low,amc,13.0,360.0,175.0,3821,11.0
usa,6,73,medium,plymouth,18.0,225.0,105.0,3121,16.5
usa,6,73,low,chevrolet,16.0,250.0,100.0,3278,18.0
usa,6,73,medium,amc,18.0,232.0,100.0,2945,16.0
usa,6,73,medium,ford,18.0,250.0,88.0,3021,16.5
usa,6,73,medium,plymouth,23.0,198.0,95.0,2904,16.0
europe,4,73,medium,volkswagen,26.0,97.0,46.0,1950,21.0
usa,8,73,low,chevrolet,11.0,400.0,150.0,4997,14.0
usa,8,73,low,ford,12.0,400.0,167.0,4906,12.5
usa,8,73,low,plymouth,13.0,360.0,170.0,4654,13.0
usa,8,73,low,oldsmobile,12.0,350.0,180.0,4499,12.5
usa,6,73,medium,amc,18.0,232.0,100.0,2789,15.0
japan,4,73,medium,toyota,20.0,97.0,88.0,2279,19.0
usa,4,73,medium,chevrolet,21.0,140.0,72.0,2401,19.5
japan,4,73,medium,datsun,22.0,108.0,94.0,2379,16.5
japan,3,73,medium,maxda,18.0,70.0,90.0,2124,13.5
usa,4,73,medium,ford,19.0,122.0,85.0,2310,18.5
usa,6,73,medium,mercury,21.0,155.0,107.0,2472,14.0
europe,4,73,medium,fiat,26.0,98.0,90.0,2265,15.5
usa,8,73,low,chevrolet,15.0,350.0,145.0,4082,13.0
usa,8,73,low,pontiac,16.0,400.0,230.0,4278,9.5
europe,4,73,medium,fiat,29.0,68.0,49.0,1867,19.5
europe,4,73,medium,opel,24.0,116.0,75.0,2158,15.5
europe,4,73,medium,audi,20.0,114.0,91.0,2582,14.0
europe,4,73,medium,volvo,19.0,121.0,112.0,2868,15.5
usa,8,73,low,dodge,15.0,318.0,150.0,3399,11.0
europe,4,73,medium,saab,24.0,121.0,110.0,2660,14.0
japan,6,73,medium,toyota,20.0,156.0,122.0,2807,13.5
usa,8,73,low,oldsmobile,11.0,350.0,180.0,3664,11.0
usa,6,74,medium,plymouth,20.0,198.0,95.0,3102,16.5
usa,6,74,medium,amc,19.0,232.0,100.0,2901,16.0
usa,6,74,low,chevrolet,15.0,250.0,100.0,3336,17.0
japan,4,74,high,datsun,31.0,79.0,67.0,1950,19.0
usa,4,74,medium,ford,26.0,122.0,80.0,2451,16.5
japan,4,74,high,toyota,32.0,71.0,65.0,1836,21.0
usa,4,74,medium,chevrolet,25.0,140.0,75.0,2542,17.0
usa,6,74,low,chevrolet,16.0,250.0,100.0,3781,17.0
usa,6,74,low,amc,16.0,258.0,110.0,3632,18.0
usa,6,74,medium,plymouth,18.0,225.0,105.0,3613,16.5
usa,8,74,low,ford,16.0,302.0,140.0,4141,14.0
usa,8,74,low,buick,13.0,350.0,150.0,4699,14.5
usa,8,74,low,dodge,14.0,318.0,150.0,4457,13.5
usa,8,74,low,ford,14.0,302.0,140.0,4638,16.0
usa,8,74,low,amc,14.0,304.0,150.0,4257,15.5
europe,4,74,medium,audi,29.0,98.0,83.0,2219,16.5
europe,4,74,medium,volkswagen,26.0,79.0,67.0,1963,15.5
europe,4,74,medium,opel,26.0,97.0,78.0,2300,14.5
japan,4,74,high,toyota,31.0,76.0,52.0,1649,16.5
japan,4,74,high,datsun,32.0,83.0,61.0,2003,19.0
usa,4,74,medium,dodge,28.0,90.0,75.0,2125,14.5
europe,4,74,medium,fiat,24.0,90.0,75.0,2108,15.5
europe,4,74,medium,fiat,26.0,116.0,75.0,2246,14.0
japan,4,74,medium,honda,24.0,120.0,97.0,2489,15.0
japan,4,74,medium,subaru,26.0,108.0,93.0,2391,15.5
europe,4,74,high,fiat,31.0,79.0,67.0,2000,16.0
usa,6,75,medium,plymouth,19.0,225.0,95.0,3264,16.0
usa,6,75,medium,chevrolet,18.0,250.0,105.0,3459,16.0
usa,6,75,low,mercury,15.0,250.0,72.0,3432,21.0
usa,6,75,low,ford,15.0,250.0,72.0,3158,19.5
usa,8,75,low,pontiac,16.0,400.0,170.0,4668,11.5
usa,8,75,low,chevrolet,15.0,350.0,145.0,4440,14.0
usa,8,75,low,plymouth,16.0,318.0,150.0,4498,14.5
usa,8,75,low,ford,14.0,351.0,148.0,4657,13.5
usa,6,75,medium,buick,17.0,231.0,110.0,3907,21.0
usa,6,75,low,chevroelt,16.0,250.0,105.0,3897,18.5
usa,6,75,low,amc,15.0,258.0,110.0,3730,19.0
usa,6,75,medium,plymouth,18.0,225.0,95.0,3785,19.0
usa,6,75,medium,buick,21.0,231.0,110.0,3039,15.0
usa,8,75,medium,chevrolet,20.0,262.0,110.0,3221,13.5
usa,8,75,low,ford,13.0,302.0,129.0,3169,12.0
japan,4,75,medium,toyota,29.0,97.0,75.0,2171,16.0
usa,4,75,medium,ford,23.0,140.0,83.0,2639,17.0
usa,6,75,medium,amc,20.0,232.0,100.0,2914,16.0
usa,4,75,medium,pontiac,23.0,140.0,78.0,2592,18.5
japan,4,75,medium,toyota,24.0,134.0,96.0,2702,13.5
europe,4,75,medium,volkswagen,25.0,90.0,71.0,2223,16.5
japan,4,75,medium,datsun,24.0,119.0,97.0,2545,17.0
usa,6,75,medium,ford,18.0,171.0,97.0,2984,14.5
europe,4,75,medium,volkswagen,29.0,90.0,70.0,1937,14.0
usa,6,75,medium,amc,19.0,232.0,90.0,3211,17.0
europe,4,75,medium,audi,23.0,115.0,95.0,2694,15.0
europe,4,75,medium,peugeot,23.0,120.0,88.0,2957,17.0
europe,4,75,medium,volvo,22.0,121.0,98.0,2945,14.5
europe,4,75,medium,saab,25.0,121.0,115.0,2671,13.5
japan,4,75,high,honda,33.0,91.0,53.0,1795,17.5
europe,4,76,medium,fiat,28.0,107.0,86.0,2464,15.5
europe,4,76,medium,opel,25.0,116.0,81.0,2220,16.9
usa,4,76,medium,capri,25.0,140.0,92.0,2572,14.9
usa,4,76,medium,dodge,26.0,98.0,79.0,2255,17.7
europe,4,76,medium,renault,27.0,101.0,83.0,2202,15.3
usa,8,76,medium,chevrolet,17.5,305.0,140.0,4215,13.0
usa,8,76,low,dodge,16.0,318.0,150.0,4190,13.0
usa,8,76,low,amc,15.5,304.0,120.0,3962,13.9
usa,8,76,low,ford,14.5,351.0,152.0,4215,12.8
usa,6,76,medium,plymouth,22.0,225.0,100.0,3233,15.4
usa,6,76,medium,chevrolet,22.0,250.0,105.0,3353,14.5
usa,6,76,medium,ford,24.0,200.0,81.0,3012,17.6
usa,6,76,medium,amc,22.5,232.0,90.0,3085,17.6
usa,4,76,medium,chevrolet,29.0,85.0,52.0,2035,22.2
usa,4,76,medium,chevrolet,24.5,98.0,60.0,2164,22.1
europe,4,76,medium,vw,29.0,90.0,70.0,1937,14.2
japan,4,76,high,honda,33.0,91.0,53.0,1795,17.4
usa,6,76,medium,dodge,20.0,225.0,100.0,3651,17.7
usa,6,76,medium,ford,18.0,250.0,78.0,3574,21.0
usa,6,76,medium,pontiac,18.5,250.0,110.0,3645,16.2
usa,6,76,medium,amc,17.5,258.0,95.0,3193,17.8
europe,4,76,high,volkswagen,29.5,97.0,71.0,1825,12.2
japan,4,76,high,datsun,32.0,85.0,70.0,1990,17.0
japan,4,76,medium,toyota,28.0,97.0,75.0,2155,16.4
usa,4,76,medium,ford,26.5,140.0,72.0,2565,13.6
europe,4,76,medium,volvo,20.0,130.0,102.0,3150,15.7
usa,8,76,low,plymouth,13.0,318.0,150.0,3940,13.2
europe,4,76,medium,peugeot,19.0,120.0,88.0,3270,21.9
japan,6,76,medium,toyota,19.0,156.0,108.0,2930,15.5
europe,6,76,low,mercedes-benz,16.5,168.0,120.0,3820,16.7
usa,8,76,low,cadillac,16.5,350.0,180.0,4380,12.1
usa,8,76,low,chevy,13.0,350.0,145.0,4055,12.0
usa,8,76,low,ford,13.0,302.0,130.0,3870,15.0
usa,8,76,low,dodge,13.0,318.0,150.0,3755,14.0
japan,4,77,high,honda,31.5,98.0,68.0,2045,18.5
usa,4,77,high,buick,30.0,111.0,80.0,2155,14.8
europe,4,77,high,renault,36.0,79.0,58.0,1825,18.6
usa,4,77,medium,plymouth,25.5,122.0,96.0,2300,15.5
japan,4,77,high,datsun,33.5,85.0,70.0,1945,16.8
usa,8,77,medium,chevrolet,17.5,305.0,145.0,3880,12.5
usa,8,77,medium,oldsmobile,17.0,260.0,110.0,4060,19.0
usa,8,77,low,dodge,15.5,318.0,145.0,4140,13.7
usa,8,77,low,mercury,15.0,302.0,130.0,4295,14.9
usa,6,77,medium,chevrolet,17.5,250.0,110.0,3520,16.4
usa,6,77,medium,buick,20.5,231.0,105.0,3425,16.9
usa,6,77,medium,plymouth,19.0,225.0,100.0,3630,17.7
usa,6,77,medium,ford,18.5,250.0,98.0,3525,19.0
usa,8,77,low,pontiac,16.0,400.0,180.0,4220,11.1
usa,8,77,low,chevrolet,15.5,350.0,170.0,4165,11.4
usa,8,77,low,chrysler,15.5,400.0,190.0,4325,12.2
usa,8,77,low,ford,16.0,351.0,149.0,4335,14.5
europe,4,77,medium,volkswagen,29.0,97.0,78.0,1940,14.5
usa,4,77,medium,pontiac,24.5,151.0,88.0,2740,16.0
japan,4,77,medium,toyota,26.0,97.0,75.0,2265,18.2
usa,4,77,medium,ford,25.5,140.0,89.0,2755,15.8
usa,4,77,high,chevrolet,30.5,98.0,63.0,2051,17.0
usa,4,77,high,dodge,33.5,98.0,83.0,2075,15.9
japan,4,77,high,subaru,30.0,97.0,67.0,1985,16.4
europe,4,77,high,volkswagen,30.5,97.0,78.0,2190,14.1
japan,6,77,medium,datsun,22.0,146.0,97.0,2815,14.5
europe,4,77,medium,bmw,21.5,121.0,110.0,2600,12.8
japan,3,77,medium,mazda,21.5,80.0,110.0,2720,13.5
europe,4,78,high,volkswagen,43.1,90.0,48.0,1985,21.5
usa,4,78,high,ford,36.1,98.0,66.0,1800,14.4
japan,4,78,high,mazda,32.8,78.0,52.0,1985,19.4
japan,4,78,high,datsun,39.4,85.0,70.0,2070,18.6
japan,4,78,high,honda,36.1,91.0,60.0,1800,16.4
usa,8,78,medium,oldsmobile,19.9,260.0,110.0,3365,15.5
usa,8,78,medium,dodge,19.4,318.0,140.0,3735,13.2
usa,8,78,medium,mercury,20.2,302.0,139.0,3570,12.8
usa,6,78,medium,pontiac,19.2,231.0,105.0,3535,19.2
usa,6,78,medium,chevrolet,20.5,200.0,95.0,3155,18.2
usa,6,78,medium,ford,20.2,200.0,85.0,2965,15.8
usa,4,78,medium,ford,25.1,140.0,88.0,2720,15.4
usa,6,78,medium,plymouth,20.5,225.0,100.0,3430,17.2
usa,6,78,medium,amc,19.4,232.0,90.0,3210,17.2
usa,6,78,medium,buick,20.6,231.0,105.0,3380,15.8
usa,6,78,medium,mercury,20.8,200.0,85.0,3070,16.7
usa,6,78,medium,dodge,18.6,225.0,110.0,3620,18.7
usa,6,78,medium,amc,18.1,258.0,120.0,3410,15.1
usa,8,78,medium,chevrolet,19.2,305.0,145.0,3425,13.2
usa,6,78,medium,buick,17.7,231.0,165.0,3445,13.4
usa,8,78,medium,ford,18.1,302.0,139.0,3205,11.2
usa,8,78,medium,dodge,17.5,318.0,140.0,4080,13.7
usa,4,78,high,chevrolet,30.0,98.0,68.0,2155,16.5
japan,4,78,medium,toyota,27.5,134.0,95.0,2560,14.2
japan,4,78,medium,datsun,27.2,119.0,97.0,2300,14.7
usa,4,78,high,dodge,30.9,105.0,75.0,2230,14.5
japan,4,78,medium,toyota,21.1,134.0,95.0,2515,14.8
usa,4,78,medium,plymouth,23.2,156.0,105.0,2745,16.7
usa,4,78,medium,oldsmobile,23.8,151.0,85.0,2855,17.6
japan,4,78,medium,datsun,23.9,119.0,97.0,2405,14.9
europe,5,78,medium,audi,20.3,131.0,103.0,2830,15.9
europe,6,78,medium,volvo,17.0,163.0,125.0,3140,13.6
europe,4,78,medium,saab,21.6,121.0,115.0,2795,15.7
europe,6,78,low,peugeot,16.2,163.0,133.0,3410,15.8
europe,4,78,high,volkswagen,31.5,89.0,71.0,1990,14.9
japan,4,78,high,honda,29.5,98.0,68.0,2135,16.6
usa,6,79,medium,pontiac,21.5,231.0,115.0,3245,15.4
usa,6,79,medium,mercury,19.8,200.0,85.0,2990,18.2
usa,4,79,medium,ford,22.3,140.0,88.0,2890,17.3
usa,6,79,medium,amc,20.2,232.0,90.0,3265,18.2
usa,6,79,medium,dodge,20.6,225.0,110.0,3360,16.6
usa,8,79,medium,chevrolet,17.0,305.0,130.0,3840,15.4
usa,8,79,medium,ford,17.6,302.0,129.0,3725,13.4
usa,8,79,low,mercury,16.5,351.0,138.0,3955,13.2
usa,8,79,medium,dodge,18.2,318.0,135.0,3830,15.2
usa,8,79,low,buick,16.9,350.0,155.0,4360,14.9
usa,8,79,low,ford,15.5,351.0,142.0,4054,14.3
usa,8,79,medium,chevrolet,19.2,267.0,125.0,3605,15.0
usa,8,79,medium,chrysler,18.5,360.0,150.0,3940,13.0
europe,4,79,high,vw,31.9,89.0,71.0,1925,14.0
japan,4,79,high,maxda,34.1,86.0,65.0,1975,15.2
usa,4,79,high,dodge,35.7,98.0,80.0,1915,14.4
usa,4,79,medium,amc,27.4,121.0,80.0,2670,15.0
europe,5,79,medium,mercedes,25.4,183.0,77.0,3530,20.1
usa,8,79,medium,cadillac,23.0,350.0,125.0,3900,17.4
europe,4,79,medium,peugeot,27.2,141.0,71.0,3190,24.8
usa,8,79,medium,oldsmobile,23.9,260.0,90.0,3420,22.2
usa,4,79,high,plymouth,34.2,105.0,70.0,2200,13.2
usa,4,79,high,plymouth,34.5,105.0,70.0,2150,14.9
japan,4,79,high,datsun,31.8,85.0,65.0,2020,19.2
europe,4,79,high,fiat,37.3,91.0,69.0,2130,14.7
usa,4,79,medium,buick,28.4,151.0,90.0,2670,16.0
usa,6,79,medium,chevrolet,28.8,173.0,115.0,2595,11.3
usa,6,79,medium,oldsmobile,26.8,173.0,115.0,2700,12.9
usa,4,79,high,pontiac,33.5,151.0,90.0,2556,13.2
europe,4,80,high,vw,41.5,98.0,76.0,2144,14.7
japan,4,80,high,toyota,38.1,89.0,60.0,1968,18.8
usa,4,80,high,chevrolet,32.1,98.0,70.0,2120,15.5
japan,4,80,high,datsun,37.2,86.0,65.0,2019,16.4
usa,4,80,medium,chevrolet,28.0,151.0,90.0,2678,16.5
usa,4,80,medium,ford,26.4,140.0,88.0,2870,18.1
usa,4,80,medium,amc,24.3,151.0,90.0,3003,20.1
usa,6,80,medium,dodge,19.1,225.0,90.0,3381,18.7
europe,4,80,high,audi,34.3,97.0,78.0,2188,15.8
japan,4,80,high,toyota,29.8,134.0,90.0,2711,15.5
japan,4,80,high,mazda,31.3,120.0,75.0,2542,17.5
japan,4,80,high,datsun,37.0,119.0,92.0,2434,15.0
japan,4,80,high,toyota,32.2,108.0,75.0,2265,15.2
japan,4,80,high,mazda,46.6,86.0,65.0,2110,17.9
usa,4,80,medium,dodge,27.9,156.0,105.0,2800,14.4
japan,4,80,high,datsun,40.8,85.0,65.0,2110,19.2
europe,4,80,high,vw,44.3,90.0,48.0,2085,21.7
europe,4,80,high,vw,43.4,90.0,48.0,2335,23.7
europe,5,80,high,audi,36.4,121.0,67.0,2950,19.9
europe,4,80,high,mercedes-benz,30.0,146.0,67.0,3250,21.8
japan,4,80,high,honda,44.6,91.0,67.0,1850,13.8
japan,4,80,high,subaru,33.8,97.0,67.0,2145,18.0
europe,4,80,high,vokswagen,29.8,89.0,62.0,1845,15.3
japan,6,80,high,datsun,32.7,168.0,132.0,2910,11.4
japan,3,80,medium,mazda,23.7,70.0,100.0,2420,12.5
europe,4,80,high,triumph,35.0,122.0,88.0,2500,15.1
japan,4,80,high,honda,32.4,107.0,72.0,2290,17.0
usa,4,81,medium,plymouth,27.2,135.0,84.0,2490,15.7
usa,4,81,medium,buick,26.6,151.0,84.0,2635,16.4
usa,4,81,medium,dodge,25.8,156.0,92.0,2620,14.4
usa,6,81,medium,chevrolet,23.5,173.0,110.0,2725,12.6
usa,4,81,high,plymouth,30.0,135.0,84.0,2385,12.9
japan,4,81,high,toyota,39.1,79.0,58.0,1755,16.9
usa,4,81,high,plymouth,39.0,86.0,64.0,1875,16.4
japan,4,81,high,honda,35.1,81.0,60.0,1760,16.1
japan,4,81,high,subaru,32.3,97.0,67.0,2065,17.8
japan,4,81,high,datsun,37.0,85.0,65.0,1975,19.4
japan,4,81,high,toyota,37.7,89.0,62.0,2050,17.3
japan,4,81,high,mazda,34.1,91.0,68.0,1985,16.0
usa,4,81,high,plymouth,34.7,105.0,63.0,2215,14.9
usa,4,81,high,ford,34.4,98.0,65.0,2045,16.2
usa,4,81,high,ford,29.9,98.0,65.0,2380,20.7
europe,4,81,high,volkswagen,33.0,105.0,74.0,2190,14.2
japan,4,81,high,honda,33.7,107.0,75.0,2210,14.4
japan,4,81,high,toyota,32.4,108.0,75.0,2350,16.8
japan,4,81,high,datsun,32.9,119.0,100.0,2615,14.8
japan,4,81,high,mazda,31.6,120.0,74.0,2635,18.3
europe,4,81,medium,peugeot,28.1,141.0,80.0,3230,20.4
europe,6,81,high,volvo,30.7,145.0,76.0,3160,19.6
japan,6,81,medium,toyota,25.4,168.0,116.0,2900,12.6
japan,6,81,medium,datsun,24.2,146.0,120.0,2930,13.8
usa,6,81,medium,buick,22.4,231.0,110.0,3415,15.8
usa,8,81,medium,oldsmobile,26.6,350.0,105.0,3725,19.0
usa,6,81,medium,ford,20.2,200.0,88.0,3060,17.1
usa,6,81,medium,chrysler,17.6,225.0,85.0,3465,16.6
usa,4,82,medium,chevrolet,28.0,112.0,88.0,2605,19.6
usa,4,82,medium,chevrolet,27.0,112.0,88.0,2640,18.6
usa,4,82,high,chevrolet,34.0,112.0,88.0,2395,18.0
usa,4,82,high,pontiac,31.0,112.0,85.0,2575,16.2
usa,4,82,medium,dodge,29.0,135.0,84.0,2525,16.0
usa,4,82,medium,pontiac,27.0,151.0,90.0,2735,18.0
usa,4,82,medium,ford,24.0,140.0,92.0,2865,16.4
europe,4,82,high,volkswagen,36.0,105.0,74.0,1980,15.3
japan,4,82,high,mazda,37.0,91.0,68.0,2025,18.2
japan,4,82,high,mazda,31.0,91.0,68.0,1970,17.6
usa,4,82,high,plymouth,38.0,105.0,63.0,2125,14.7
usa,4,82,high,mercury,36.0,98.0,70.0,2125,17.3
japan,4,82,high,nissan,36.0,120.0,88.0,2160,14.5
japan,4,82,high,honda,36.0,107.0,75.0,2205,14.5
japan,4,82,high,toyota,34.0,108.0,70.0,2245,16.9
japan,4,82,high,honda,38.0,91.0,67.0,1965,15.0
japan,4,82,high,honda,32.0,91.0,67.0,1965,15.7
japan,4,82,high,datsun,38.0,91.0,67.0,1995,16.2
usa,6,82,medium,buick,25.0,181.0,110.0,2945,16.4
usa,6,82,high,oldsmobile,38.0,262.0,85.0,3015,17.0
usa,4,82,medium,chrysler,26.0,156.0,92.0,2585,14.5
usa,6,82,medium,ford,22.0,232.0,112.0,2835,14.7
japan,4,82,high,toyota,32.0,144.0,96.0,2665,13.9
usa,4,82,high,dodge,36.0,135.0,84.0,2370,13.0
usa,4,82,medium,chevrolet,27.0,151.0,90.0,2950,17.3
usa,4,82,medium,ford,27.0,140.0,86.0,2790,15.6
europe,4,82,high,vw,44.0,97.0,52.0,2130,24.6
usa,4,82,high,dodge,32.0,135.0,84.0,2295,11.6
usa,4,82,medium,ford,28.0,120.0,79.0,2625,18.6
usa,4,82,high,chevy,31.0,119.0,82.0,2720,19.4
